Sales,Quantity,Discount,Shipping Time,Month,Year,Day Of Week,Unit Price,Item Price,Value Per Item,Discount Amount,Profit,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Category_Office Supplies,Category_Technology,Sub-Category_Appliances,Sub-Category_Art,Sub-Category_Binders,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Copiers,Sub-Category_Envelopes,Sub-Category_Fasteners,Sub-Category_Furnishings,Sub-Category_Labels,Sub-Category_Machines,Sub-Category_Paper,Sub-Category_Phones,Sub-Category_Storage,Sub-Category_Supplies,Sub-Category_Tables,Region_East,Region_South,Region_West
261.96,2,0.0,3,11,2016,1,130.98,130.98,130.98,0.0,41.9136,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
731.94,3,0.0,3,11,2016,1,243.98000000000002,243.98000000000002,243.98000000000002,0.0,219.582,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
14.62,2,0.0,4,6,2016,6,7.31,7.31,7.31,0.0,6.8714,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
957.5775,5,0.45,7,10,2015,6,191.5155,191.5155,191.5155,430.909875,-383.031,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
22.368,2,0.2,7,10,2015,6,11.184,11.184,11.184,4.4736,2.5164,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
48.86,7,0.0,5,6,2014,0,6.9799999999999995,6.9799999999999995,6.9799999999999995,0.0,14.1694,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
7.28,4,0.0,5,6,2014,0,1.82,1.82,1.82,0.0,1.9656,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
907.152,6,0.2,5,6,2014,0,151.192,151.192,151.192,181.43040000000002,90.7152,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
18.504,3,0.2,5,6,2014,0,6.168,6.168,6.168,3.7008000000000005,5.7825,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
114.9,5,0.0,5,6,2014,0,22.98,22.98,22.98,0.0,34.47,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1706.184,9,0.2,5,6,2014,0,189.576,189.576,189.576,341.2368,85.3092,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
911.424,4,0.2,5,6,2014,0,227.856,227.856,227.856,182.28480000000002,68.3568,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
15.552,3,0.2,5,4,2017,5,5.184,5.184,5.184,3.1104000000000003,5.4432,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
407.976,3,0.2,5,12,2016,0,135.992,135.992,135.992,81.5952,132.5922,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
68.81,5,0.8,4,11,2015,6,13.762,13.762,13.762,55.048,-123.858,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2.544,3,0.8,4,11,2015,6,0.848,0.848,0.848,2.0352,-3.816,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
665.88,6,0.0,7,11,2014,1,110.98,110.98,110.98,0.0,13.3176,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
55.5,2,0.0,2,5,2014,1,27.75,27.75,27.75,0.0,9.99,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
8.56,2,0.0,5,8,2014,2,4.28,4.28,4.28,0.0,2.4824,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
213.48,3,0.2,5,8,2014,2,71.16,71.16,71.16,42.696,16.011,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
22.72,4,0.2,5,8,2014,2,5.68,5.68,5.68,4.544,7.384,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19.46,7,0.0,4,12,2016,4,2.7800000000000002,2.7800000000000002,2.7800000000000002,0.0,5.0596,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60.34,7,0.0,4,12,2016,4,8.620000000000001,8.620000000000001,8.620000000000001,0.0,15.6884,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71.372,2,0.3,2,7,2017,6,35.686,35.686,35.686,21.4116,-1.0196,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1044.63,3,0.0,5,9,2015,4,348.21000000000004,348.21000000000004,348.21000000000004,0.0,240.2649,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
11.648,2,0.2,4,1,2016,5,5.824,5.824,5.824,2.3296,4.2224,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
90.57,3,0.0,4,1,2016,5,30.189999999999998,30.189999999999998,30.189999999999998,0.0,11.7741,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3083.43,7,0.5,4,9,2015,3,440.48999999999995,440.48999999999995,440.48999999999995,1541.715,-1665.0522,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
9.618,2,0.7,4,9,2015,3,4.809,4.809,4.809,6.7326,-7.0532,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
124.2,3,0.2,4,9,2015,3,41.4,41.4,41.4,24.840000000000003,15.525,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
3.264,2,0.2,4,9,2015,3,1.632,1.632,1.632,0.6528,1.1016,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
86.304,6,0.2,4,9,2015,3,14.384,14.384,14.384,17.2608,9.7092,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6.858,6,0.7,4,9,2015,3,1.143,1.143,1.143,4.800599999999999,-5.715,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
15.76,2,0.2,4,9,2015,3,7.88,7.88,7.88,3.152,3.546,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
29.472,3,0.2,4,10,2017,3,9.824,9.824,9.824,5.894400000000001,9.9468,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1097.544,7,0.2,2,12,2016,3,156.792,156.792,156.792,219.50880000000004,123.4737,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
190.92,5,0.6,2,12,2016,3,38.184,38.184,38.184,114.55199999999999,-147.963,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
113.328,9,0.2,4,12,2015,6,12.592,12.592,12.592,22.6656,35.415,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
532.3992,3,0.32,4,12,2015,6,177.4664,177.4664,177.4664,170.367744,-46.9764,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
212.058,3,0.3,4,12,2015,6,70.68599999999999,70.68599999999999,70.68599999999999,63.617399999999996,-15.147,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
371.168,4,0.2,4,12,2015,6,92.792,92.792,92.792,74.23360000000001,41.7564,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
147.168,4,0.2,5,9,2017,6,36.792,36.792,36.792,29.433600000000002,16.5564,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
77.88,2,0.0,5,7,2016,6,38.94,38.94,38.94,0.0,3.894,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
95.616,2,0.2,4,9,2017,1,47.808,47.808,47.808,19.1232,9.5616,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
45.98,2,0.0,2,3,2016,4,22.99,22.99,22.99,0.0,19.7714,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17.46,2,0.0,2,3,2016,4,8.73,8.73,8.73,0.0,8.2062,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
211.96,4,0.0,5,10,2014,0,52.99,52.99,52.99,0.0,8.4784,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
45.0,3,0.0,5,6,2016,0,15.0,15.0,15.0,0.0,4.95,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
21.8,2,0.0,5,6,2016,0,10.9,10.9,10.9,0.0,6.104,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
38.22,6,0.0,4,4,2015,5,6.37,6.37,6.37,0.0,17.9634,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75.18,6,0.0,4,4,2015,5,12.530000000000001,12.530000000000001,12.530000000000001,0.0,35.3346,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
6.16,2,0.0,4,4,2015,5,3.08,3.08,3.08,0.0,2.9568,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
89.99,1,0.0,4,4,2015,5,89.99,89.99,89.99,0.0,17.0981,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15.26,7,0.0,6,12,2016,6,2.18,2.18,2.18,0.0,6.2566,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1029.95,5,0.0,6,12,2016,6,205.99,205.99,205.99,0.0,298.6855,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
208.56,6,0.0,1,6,2016,4,34.76,34.76,34.76,0.0,52.14,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
32.4,5,0.0,1,6,2016,4,6.4799999999999995,6.4799999999999995,6.4799999999999995,0.0,15.552,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
319.41,5,0.1,1,6,2016,4,63.882000000000005,63.882000000000005,63.882000000000005,31.941000000000003,7.098,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
14.56,2,0.0,1,6,2016,4,7.28,7.28,7.28,0.0,6.9888,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
30.0,2,0.0,1,6,2016,4,15.0,15.0,15.0,0.0,3.3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
48.48,4,0.2,1,6,2016,4,12.12,12.12,12.12,9.696,16.362,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1.68,1,0.0,1,6,2016,4,1.68,1.68,1.68,0.0,0.84,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
13.98,2,0.0,6,11,2015,1,6.99,6.99,6.99,0.0,6.1512,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
25.824,6,0.2,6,11,2015,1,4.304,4.304,4.304,5.1648000000000005,9.3612,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
146.73,3,0.0,6,11,2015,1,48.91,48.91,48.91,0.0,68.9631,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
79.76,4,0.0,6,11,2015,1,19.94,19.94,19.94,0.0,22.3328,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
213.115,5,0.3,5,4,2015,3,42.623000000000005,42.623000000000005,42.623000000000005,63.9345,-15.2225,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1113.024,8,0.2,5,12,2014,4,139.128,139.128,139.128,222.60479999999998,111.3024,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
167.968,4,0.2,5,12,2014,4,41.992,41.992,41.992,33.5936,62.988,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
75.88,2,0.0,2,6,2016,5,37.94,37.94,37.94,0.0,35.6636,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
4.616,1,0.2,5,9,2016,6,4.616,4.616,4.616,0.9232,1.731,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
19.05,3,0.0,3,9,2017,3,6.3500000000000005,6.3500000000000005,6.3500000000000005,0.0,8.763,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
831.936,8,0.2,6,4,2015,6,103.992,103.992,103.992,166.3872,-114.3912,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
97.04,2,0.2,6,4,2015,6,48.52,48.52,48.52,19.408,1.213,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
72.784,1,0.2,6,4,2015,6,72.784,72.784,72.784,14.556800000000003,-18.196,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1.248,3,0.8,2,12,2017,5,0.416,0.416,0.416,0.9984000000000001,-1.9344,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.708,3,0.6,2,12,2017,5,3.236,3.236,3.236,5.8248,-5.8248,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
27.24,3,0.2,2,12,2017,5,9.08,9.08,9.08,5.448,2.724,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
19.3,5,0.6,5,11,2014,2,3.8600000000000003,3.8600000000000003,3.8600000000000003,11.58,-14.475,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
208.16,1,0.0,3,6,2016,6,208.16,208.16,208.16,0.0,56.2032,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
16.74,3,0.0,3,6,2016,6,5.579999999999999,5.579999999999999,5.579999999999999,0.0,8.0352,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
14.9,5,0.0,4,10,2014,6,2.98,2.98,2.98,0.0,4.172,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
21.39,1,0.0,4,10,2014,6,21.39,21.39,21.39,0.0,6.2031,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
200.984,7,0.2,5,9,2015,3,28.712,28.712,28.712,40.1968,62.8075,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
230.376,3,0.2,3,11,2017,0,76.792,76.792,76.792,46.0752,-48.9549,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
301.96,2,0.0,2,5,2017,6,150.98,150.98,150.98,0.0,33.2156,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19.99,1,0.0,7,10,2017,3,19.99,19.99,19.99,0.0,6.7966,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.16,2,0.0,7,10,2017,3,3.08,3.08,3.08,0.0,2.9568,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
158.368,7,0.2,5,4,2016,1,22.624,22.624,22.624,31.6736,13.8572,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
20.1,3,0.0,5,9,2016,5,6.7,6.7,6.7,0.0,6.633,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
73.584,2,0.2,5,9,2016,5,36.792,36.792,36.792,14.716800000000001,8.2782,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
6.48,1,0.0,5,9,2016,5,6.48,6.48,6.48,0.0,3.1104,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
12.96,2,0.0,5,1,2015,5,6.48,6.48,6.48,0.0,6.2208,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
53.34,3,0.0,5,1,2015,5,17.78,17.78,17.78,0.0,16.5354,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
32.96,2,0.0,5,1,2015,5,16.48,16.48,16.48,0.0,16.1504,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.682,1,0.7,6,11,2017,0,5.682,5.682,5.682,3.9774,-3.788,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
96.53,7,0.0,2,11,2017,3,13.790000000000001,13.790000000000001,13.790000000000001,0.0,40.5426,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
51.312,3,0.2,3,6,2017,5,17.104,17.104,17.104,10.2624,17.9592,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
77.88,6,0.0,5,9,2016,1,12.979999999999999,12.979999999999999,12.979999999999999,0.0,22.5852,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
